gpu01 2,3
MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016a (9.0.0.341360) 64-bit (glnxa64)
                             February 11, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
Conduct RDH-ED based on MSB in 3D meshes:

name =

Armadillo.ply

m     embbed_len      capacity      hd                    snr
6        1          1.049       8.5802e-07                161.1417
6        2          2.0981       8.5802e-07                161.1417
6        3          3.1471       8.5802e-07                161.1417
6        4          4.1962       8.5802e-07                161.1417
6        5          5.2452       8.5802e-07                161.1417
6        6          6.2849       8.5802e-07                161.1417
6        7          7.3034       8.5802e-07                161.1417
6        8          8.261       8.5802e-07                161.1417
6        9          9.1082       8.5802e-07                161.1417
6        10          9.7031       8.5802e-07                161.1417
6        11          9.8133       8.5802e-07                161.1417
6        12          8.9857       8.5802e-07                161.1417
6        13          1.5269       8.5802e-07                161.1417
6        14          0.6131       8.5802e-07                161.1417
6        15          0.10614       8.5802e-07                161.1417
6        16          0.03885       8.5802e-07                161.1417
6        17          0.0041278       8.5802e-07                161.1417
6        18          0.0021853       8.5802e-07                161.1417
6        19          0.0013181       8.5802e-07                161.1417
6        20          0.00034687       8.5802e-07                161.1417
6        21          0       8.5802e-07                161.1417
6        22          0       8.5802e-07                161.1417
6        23          0       8.5802e-07                161.1417
6        24          0       8.5802e-07                161.1417
7        1          1.049       8.5594e-08                181.1945
7        2          2.0981       8.5594e-08                181.1945
7        3          3.1387       8.5594e-08                181.1945
7        4          4.1567       8.5594e-08                181.1945
7        5          5.1292       8.5594e-08                181.1945
7        6          6.0055       8.5594e-08                181.1945
7        7          6.6593       8.5594e-08                181.1945
7        8          6.8388       8.5594e-08                181.1945
7        9          5.8967       8.5594e-08                181.1945
7        10          0.18818       8.5594e-08                181.1945
7        11          0.072115       8.5594e-08                181.1945
7        12          0.034757       8.5594e-08                181.1945
7        13          0.018488       8.5594e-08                181.1945
7        14          0.0094696       8.5594e-08                181.1945
7        15          0.0036422       8.5594e-08                181.1945
7        16          0.002775       8.5594e-08                181.1945
7        17          0.00088453       8.5594e-08                181.1945
7        18          0.00031219       8.5594e-08                181.1945
7        19          0       8.5594e-08                181.1945
7        20          0       8.5594e-08                181.1945
7        21          0       8.5594e-08                181.1945
7        22          0       8.5594e-08                181.1945
7        23          0       8.5594e-08                181.1945
7        24          0       8.5594e-08                181.1945
8        1          1.049       75.9519                3.2387
8        2          2.0868       75.9519                3.2387
8        3          3.086       75.9519                3.2387
8        4          3.9971       75.9519                3.2387
8        5          4.7089       75.9519                3.2387
8        6          4.1046       75.9519                3.2387
8        7          2.4132       75.9519                3.2387
8        8          2.0664       75.9519                3.2387
8        9          1.7244       75.9519                3.2387
8        10          1.81       75.9519                3.2387
8        11          1.9152       75.9519                3.2387
8        12          1.8993       75.9519                3.2387
8        13          2.0317       75.9519                3.2387
8        14          2.171       75.9519                3.2387
8        15          2.2732       75.9519                3.2387
8        16          2.4109       75.9519                3.2387
8        17          2.5365       75.9519                3.2387
8        18          2.6579       75.9519                3.2387
8        19          2.7881       75.9519                3.2387
8        20          2.9144       75.9519                3.2387
8        21          3.0569       75.9519                3.2387
8        22          3.1887       75.9519                3.2387
8        23          3.3308       75.9519                3.2387
8        24          3.4711       75.9519                3.2387
9        1          1.049       105.6009                -0.76244
