Armadillo.ply
m        embbed_len       capacity       hd                snr
6       1     1.049048      8.580236e-07          161.141731

6       2     2.098096      8.580236e-07          161.141731

6       3     3.147144      8.580236e-07          161.141731

6       4     4.196191      8.580236e-07          161.141731

6       5     5.245239      8.580236e-07          161.141731

6       6     6.284921      8.580236e-07          161.141731

6       7     7.303392      8.580236e-07          161.141731

6       8     8.260987      8.580236e-07          161.141731

6       9     9.108172      8.580236e-07          161.141731

6       10     9.703077      8.580236e-07          161.141731

6       11     9.813348      8.580236e-07          161.141731

6       12     8.985744      8.580236e-07          161.141731

6       13     1.526865      8.580236e-07          161.141731

6       14     0.613098      8.580236e-07          161.141731

6       15     0.106143      8.580236e-07          161.141731

6       16     0.038850      8.580236e-07          161.141731

6       17     0.004128      8.580236e-07          161.141731

6       18     0.002185      8.580236e-07          161.141731

6       19     0.001318      8.580236e-07          161.141731

6       20     0.000347      8.580236e-07          161.141731

6       21     0.000000      8.580236e-07          161.141731

6       22     0.000000      8.580236e-07          161.141731

6       23     0.000000      8.580236e-07          161.141731

6       24     0.000000      8.580236e-07          161.141731

7       1     1.049048      8.559371e-08          181.194470

7       2     2.098096      8.559371e-08          181.194470

7       3     3.138662      8.559371e-08          181.194470

7       4     4.156717      8.559371e-08          181.194470

7       5     5.129210      8.559371e-08          181.194470

7       6     6.005515      8.559371e-08          181.194470

7       7     6.659336      8.559371e-08          181.194470

7       8     6.838808      8.559371e-08          181.194470

7       9     5.896719      8.559371e-08          181.194470

7       10     0.188179      8.559371e-08          181.194470

7       11     0.072115      8.559371e-08          181.194470

7       12     0.034757      8.559371e-08          181.194470

7       13     0.018488      8.559371e-08          181.194470

7       14     0.009470      8.559371e-08          181.194470

7       15     0.003642      8.559371e-08          181.194470

7       16     0.002775      8.559371e-08          181.194470

7       17     0.000885      8.559371e-08          181.194470

7       18     0.000312      8.559371e-08          181.194470

7       19     0.000000      8.559371e-08          181.194470

7       20     0.000000      8.559371e-08          181.194470

7       21     0.000000      8.559371e-08          181.194470

7       22     0.000000      8.559371e-08          181.194470

7       23     0.000000      8.559371e-08          181.194470

7       24     0.000000      8.559371e-08          181.194470

8       1     1.049048      7.595192e+01          3.238731

8       2     2.086822      7.595192e+01          3.238731

8       3     3.086007      7.595192e+01          3.238731

8       4     3.997086      7.595192e+01          3.238731

8       5     4.708887      7.595192e+01          3.238731

8       6     4.104617      7.595192e+01          3.238731

8       7     2.413178      7.595192e+01          3.238731

8       8     2.066391      7.595192e+01          3.238731

8       9     1.724357      7.595192e+01          3.238731

8       10     1.809983      7.595192e+01          3.238731

8       11     1.915242      7.595192e+01          3.238731

8       12     1.899337      7.595192e+01          3.238731

8       13     2.031687      7.595192e+01          3.238731

8       14     2.170974      7.595192e+01          3.238731

8       15     2.273232      7.595192e+01          3.238731

8       16     2.410906      7.595192e+01          3.238731

8       17     2.536526      7.595192e+01          3.238731

8       18     2.657949      7.595192e+01          3.238731

8       19     2.788147      7.595192e+01          3.238731

8       20     2.914426      7.595192e+01          3.238731

8       21     3.056870      7.595192e+01          3.238731

8       22     3.188699      7.595192e+01          3.238731

8       23     3.330847      7.595192e+01          3.238731

8       24     3.471088      7.595192e+01          3.238731

9       1     1.049048      1.056009e+02          -0.762435

